question,expected_category,predicted_category,generated_response,classificacao_correta_qa,nota_resolucao,categoria_final_qa,status,feedback
Gostaria de cancelar meu pedido realizado ontem.,cancelamento,cancelamento,"Seu pedido será cancelado em até 5 dias úteis. Você receberá uma confirmação por e-mail assim que o cancelamento for processado. Por favor, aguarde o prazo para que possamos concluir o cancelamento.",True,4,cancelamento,APROVADO,"Resposta clara e objetiva, mas poderia incluir uma desculpa pelo inconveniente."
"Quero desistir da compra do tênis, como faço para cancelar antes que enviem?",cancelamento,cancelamento,Seu pedido será cancelado em até 5 dias úteis. Basta informar o número do pedido para que possamos proceder com o cancelamento. O cancelamento será processado assim que recebermos sua confirmação.,True,5,cancelamento,APROVADO,"Resposta clara e eficaz, atendeu à necessidade do cliente."
"Por favor, cancelem o pedido #45821 imediatamente.",cancelamento,cancelamento,O cancelamento do pedido #45821 será processado em até 5 dias úteis. Você receberá uma confirmação assim que o processo for concluído. Seu pedido será cancelado conforme solicitado.,True,4,cancelamento,APROVADO,"Resposta clara e objetiva, atendendo à solicitação do cliente."
Comprei o produto errado por engano e quero cancelar.,cancelamento,cancelamento,"Seu pedido será cancelado em até 5 dias úteis. Por favor, aguarde o processamento do cancelamento. Você será notificado assim que o cancelamento for concluído.",True,5,cancelamento,APROVADO,"Resposta clara e eficaz, atende às necessidades do cliente."
Pedi o tamanho errado. Quero cancelar essa compra pra refazer com o tamanho certo.,cancelamento,cancelamento,Seu pedido será cancelado em até 5 dias úteis. Você poderá refazer a compra com o tamanho correto após o cancelamento. Basta aguardar o processamento do cancelamento para fazer uma nova compra.,True,5,cancelamento,APROVADO,"Resposta clara e eficaz, atendendo às necessidades do cliente."
Não quero mais o item que comprei hoje cedo. Pode cancelar por favor?,cancelamento,cancelamento,"Sim, podemos cancelar o pedido. O cancelamento será processado em até 5 dias úteis. Você receberá uma confirmação assim que o processo for concluído.",True,5,cancelamento,APROVADO,"Resposta clara e eficaz, atendendo à solicitação do cliente."
Como faço para solicitar o cancelamento de uma compra pendente?,cancelamento,cancelamento,"Para solicitar o cancelamento, basta acessar sua conta e selecionar a opção de cancelar a compra pendente. O cancelamento será processado em até 5 dias úteis. Entre em contato conosco se tiver mais alguma dúvida.",True,5,cancelamento,APROVADO,"Resposta clara e concisa, atendeu à dúvida do cliente de forma eficaz."
Infelizmente vou ter que cancelar meu pedido pq tive um imprevisto financeiro.,cancelamento,cancelamento,Entendo a situação e farei o cancelamento do seu pedido. O cancelamento será processado em até 5 dias úteis. Você receberá uma confirmação assim que o processo for concluído.,True,5,cancelamento,APROVADO,Resposta eficaz e clara sobre o processo de cancelamento.
"Quero cancelar o pedido de código 882319, mudei de ideia.",cancelamento,cancelamento,"O cancelamento do seu pedido de código 882319 será processado em até 5 dias úteis. Você receberá uma confirmação por e-mail assim que o processo for concluído. Se tiver alguma outra dúvida, basta informar.",True,5,cancelamento,APROVADO,"Resposta clara e eficaz, atendeu à solicitação do cliente."
"Por favor, suspendam e cancelem minha entrega, não vou estar em casa e desisti da compra.",cancelamento,cancelamento,Seu pedido será cancelado em até 5 dias úteis. Você receberá uma confirmação por e-mail assim que o cancelamento for processado. O cancelamento será concluído dentro desse prazo.,True,5,cancelamento,APROVADO,Resposta clara e eficaz
Me arrependi da compra do celular e quero o cancelamento.,cancelamento,cancelamento,"Seu pedido de cancelamento será processado em até 5 dias úteis. Por favor, aguarde esse período para que possamos concluir o processo. Você será notificado assim que o cancelamento for concluído.",True,5,cancelamento,APROVADO,"Resposta clara e direta ao cliente, informando prazo e procedimento."
Quero cancelar. O prazo de entrega ficou muito longo.,cancelamento,cancelamento,Seu pedido será cancelado em até 5 dias úteis. Você receberá uma confirmação por e-mail assim que o cancelamento for processado. O processo de cancelamento será iniciado imediatamente.,True,5,cancelamento,APROVADO,Resposta clara e eficaz
Como cancelo um pedido que acabei de pagar no boleto?,cancelamento,cancelamento,"Para cancelar o pedido, basta informar o número do pedido e o motivo do cancelamento. O cancelamento será processado em até 5 dias úteis. Entre em contato conosco para iniciar o processo de cancelamento.",True,4,cancelamento,APROVADO,"Resposta clara e objetiva, mas poderia incluir informações sobre o boleto."
"Preciso cancelar urgentemente o pedido de hoje, o cartão usado não era meu.",cancelamento,cancelamento,"Vamos processar o cancelamento do seu pedido. Isso será feito em até 5 dias úteis. Por favor, aguarde até que o processo seja concluído.",True,4,cancelamento,APROVADO,"Resposta adequada, mas poderia incluir mais informações sobre o processo de cancelamento e possíveis consequências."
"Achei o mesmo produto mais barato em outra loja, por isso quero cancelar o meu pedido com vocês.",cancelamento,cancelamento,"Seu pedido será cancelado em até 5 dias úteis. Por favor, aguarde o processamento do cancelamento. Você será notificado assim que o cancelamento for concluído.",True,4,cancelamento,APROVADO,"Resposta clara e objetiva, atendendo à solicitação do cliente."
Meu pedido ainda não chegou. Como acompanho a entrega?,rastreamento,rastreamento,"Para acompanhar a entrega, preciso do número do seu pedido. 
Você pode me informar o número do pedido para que eu possa verificar o status da entrega? 
Isso ajudará a identificar a localização do seu pedido.",True,5,rastreamento,APROVADO,"Resposta clara e eficaz, solicitando informações necessárias para resolver a dúvida do cliente."
Onde tá meu produto? Já passou do prazo de entrega.,rastreamento,rastreamento,"Para verificar o status do seu pedido, preciso saber o número do pedido. Você pode me fornecer esse número? Isso ajudará a localizar o seu pedido e obter informações sobre a entrega.",True,4,rastreamento,APROVADO,"Resposta eficaz, solicitou informações necessárias para resolver a dúvida do cliente."
Pode me passar o código de rastreio do pedido #9921?,rastreamento,rastreamento,"Sim, posso verificar o código de rastreio para você. O código de rastreio do pedido #9921 é necessário para verificar o status de entrega. Você gostaria de saber o código de rastreio agora?",True,3,rastreamento,REPROVADO,Resposta não forneceu diretamente o código de rastreio solicitado.
Quero saber o status de envio da minha compra de semana passada.,rastreamento,rastreamento,"Para verificar o status de envio, preciso do número do seu pedido. 
Você pode me fornecer o número do pedido, por favor? 
Isso ajudará a localizar sua compra e fornecer a informação solicitada.",True,5,rastreamento,APROVADO,"Resposta clara e objetiva, solicitando informações necessárias para resolver a dúvida do cliente."
"Não estou conseguindo rastrear meu pacote pelos correios, diz que o código não existe.",rastreamento,rastreamento,"Para ajudar a resolver o problema, preciso saber o número do seu pedido. 
Pode me informar o número do pedido, por favor? 
Isso vai me permitir verificar o status do seu envio.",True,4,rastreamento,APROVADO,"Resposta útil, mas poderia oferecer mais soluções"
Onde vejo onde está a minha encomenda agora?,rastreamento,rastreamento,"Para verificar o status da sua encomenda, preciso do número do pedido. 
Você pode encontrar esse número no e-mail de confirmação da compra ou no seu histórico de pedidos. 
Por favor, forneça o número do pedido para que eu possa ajudar.",True,4,rastreamento,APROVADO,"Resposta clara e objetiva, mas poderia incluir informações adicionais sobre como acessar o histórico de pedidos."
Meu pedido já foi enviado? Não recebi nenhuma atualização no e-mail.,rastreamento,rastreamento,"Para verificar o status do seu pedido, preciso saber o número do pedido. 
Você pode me informar o número do pedido para que eu possa verificar? 
Isso me ajudará a fornecer uma atualização precisa sobre o seu pedido.",True,5,rastreamento,APROVADO,"Resposta clara e objetiva, solicitando informações necessárias para resolver a dúvida do cliente."
Ainda vai demorar para entregar? Rastreio não atualiza desde terça.,rastreamento,rastreamento,"Para verificar o status do seu pedido, preciso do número do pedido. 
Por favor, forneça o número do pedido para que eu possa ajudar. 
Isso me permitirá verificar a situação do seu envio.",True,4,rastreamento,APROVADO,"Resposta eficaz, mas poderia ser mais direta."
"Gostaria de saber a localização atual do meu pedido, por gentileza.",rastreamento,rastreamento,"Para verificar a localização do seu pedido, preciso do número do pedido. Você pode me fornecer esse número? Isso ajudará a localizar o status atual do seu pedido.",True,5,rastreamento,APROVADO,"Resposta clara e eficaz, solicitando informações necessárias para resolver a dúvida do cliente."
